"Source:","~/github/esp32-remote-alarmlicht/hardware/esp32-alarmlicht.kicad_sch"
"Date:","Di 07 Nov 2023 19:47:34 CET"
"Tool:","Eeschema 7.0.8"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","14"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Fieldname 1","Fieldname2","Fieldname3"
"1","1","D101","Wi-Fi","Device:LED","","~","","","",""
"2","1","D102","Alarm","Device:LED","","~","","","",""
"3","1","D103","Test","Device:LED","","~","","","",""
"4","1","EXT101","NA(HN2x20)","Connector_Generic:Conn_02x20_Odd_Even","OLIMEX_Connectors-FP:HN2x20","~","","Value 1","Value2","Value3"
"5","1","J102","LGRA","Connector:DIN-5_180degree","","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","","",""
"6","1","PWR101","NA(TB2 DG306-5.0-2P)","Connector_Generic:Conn_01x02","OLIMEX_Connectors-FP:TB2-DG306-5.0_2P","~","","Value 1","Value2","Value3"
"7","2","R101, R103","10k","Device:R","","~","","","",""
"8","2","R102, R104","220R","Device:R","","~","","","",""
"9","3","R107, R108, R109","3k","Device:R","","~","","","",""
"10","1","SW101","Funklicht","Switch:SW_SPST","","~","","","",""
